Site ID,Site Name,Region,Skill Level,Has Article,Article Title,Article Slug,Article Published,Article URL
248,Skillion Caves,"Terrigal, Central Coast NSW",Intermediate,Yes,Skillion Cave Terrigal: A Hidden Gem Beneath the Haven,skillion-cave-terrigal-a-hidden-gem-beneath-the-haven,Yes,https://www.scubadownunder.com/blog/skillion-cave-terrigal-a-hidden-gem-beneath-the-haven
249,Terrigal HMAS Adelaide (Currently Closed),"Terrigal, NSW",Intermediate,Yes,HMAS Adelaide Dive Site – Terrigal’s Historic Underwater Playground (Currently Closed),hmas-adelaide-dive-site-terrigals-historic-underwater-playground-currently-closed,Yes,https://www.scubadownunder.com/blog/hmas-adelaide-dive-site-terrigals-historic-underwater-playground-currently-closed
247,Terrigal Haven ,"Terrigal, NSW",Beginner,Yes,Terrigal Haven: Central Coast’s Calm Corner for All-Level Divers,terrigal-haven-central-coasts-calm-corner-for-all-level-divers,Yes,https://www.scubadownunder.com/blog/terrigal-haven-central-coasts-calm-corner-for-all-level-divers
168,Cook Island – Turtle Cove,"Tweed Heads, NSW",Beginner,Yes,Cook Island: A Sanctuary of Turtles and Vibrant Reefs,cook-island-a-sanctuary-of-turtles-and-vibrant-reefs,No,
47,Camp Cove,"Watsons Bay, NSW",All Levels,Yes,Camp Cove: Sydney’s Hidden Dive Gem at Watsons Bay,camp-cove-sydneys-hidden-dive-gem-at-watsons-bay,Yes,https://www.scubadownunder.com/blog/camp-cove-sydneys-hidden-dive-gem-at-watsons-bay
137,Baird Bay Reef,"West Coast, SA",Intermediate,Yes,Baird Bay Reef Diving Guide,baird-bay-reef-diving-guide,Yes,https://www.scubadownunder.com/blog/baird-bay-reef-diving-guide
201,Patch's Reef – Woolgoolga,"Woolgoolga, NSW",Intermediate,Yes,Patch’s Reef Woolgoolga Dive Guide NSW,patchs-reef-woolgoolga-dive-guide-nsw,Yes,https://www.scubadownunder.com/blog/patchs-reef-woolgoolga-dive-guide-nsw
208,Angourie Back Beach,"Yamba, NSW",Intermediate,Yes,Angourie Back Beach Dive Guide,angourie-back-beach-dive-guide,Yes,https://www.scubadownunder.com/blog/angourie-back-beach-dive-guide
98,Ardrossan Barge,"Yorke Peninsula, SA",Intermediate,Yes,"Diving Ardrossan Barge, Yorke Peninsula – South Australia’s Accessible Wreck Reef",diving-ardrossan-barge-yorke-peninsula-south-australias-accessible-wreck-reef,Yes,https://www.scubadownunder.com/blog/diving-ardrossan-barge-yorke-peninsula-south-australias-accessible-wreck-reef
96,Black Point Jetty,"Yorke Peninsula, SA",Beginner,Yes,Black Point Jetty: Yorke Peninsula Dive Review,black-point-jetty-yorke-peninsula-dive-review,Yes,https://www.scubadownunder.com/blog/black-point-jetty-yorke-peninsula-dive-review
101,Black Point Reef,"Yorke Peninsula, SA",Intermediate,Yes,Black Point Reef Dive Guide – Yorke Peninsula's Shallow Secret,black-point-reef-dive-guide-yorke-peninsulas-shallow-secret,Yes,https://www.scubadownunder.com/blog/black-point-reef-dive-guide-yorke-peninsulas-shallow-secret
128,Cape Spencer Reef,"Yorke Peninsula, SA",Advanced,Yes,"Diving Cape Spencer Reef, Yorke Peninsula SA",diving-cape-spencer-reef-yorke-peninsula-sa,Yes,https://www.scubadownunder.com/blog/diving-cape-spencer-reef-yorke-peninsula-sa
143,Corny Point Lagoon,"Yorke Peninsula, SA",Beginner,Yes,Corny Point Lagoon: A Tranquil Tide-Pool Haven for Aspiring Divers,corny-point-lagoon-a-tranquil-tide-pool-haven-for-aspiring-divers,No,
