ID,Name,Latitude,Longitude,Water Temperature,Skill Level,Depth Range,Description,Visibility,Best Time,Region,Marine Life,Hazards,Facilities,Image URL,Featured,Created At,Viz Slug,Compass Bearing,Nearby Runoff,Viz Triggers,Viz Seasonal
23,"South Bondi Reef",-33.89610000,151.27670000,"17–23°C","Intermediate","5–18m","Reef and boulders at Bondi's southern end with cuttlefish and rays.","5–15m","October–April","Bondi, NSW","Cuttlefish, rays, groper","Surge, surfers","Shore access",https://s3-us-west-2.amazonaws.com/imgds360live/storefront/3546038/Bondi-beach-cathederal-cave.jpg,false,2025-06-07T07:54:34.592Z,south-bondi-reef,120,"Southern end Bondi Beach stormwater drain; urban catchment from Bondi and Tamarama","SE swell stirs sand rapidly; post-storm conditions worst (viz to 1-2m); strong easterly drops viz within hours","Autumn best (8-15m, stable); Summer variable (5-12m); Winter 5-8m; Spring poorest (plankton)"
142,"Neptune Islands (Shark Cage)",-35.27620000,136.09930000,"14–20 °C","Advanced","10–30 m","Famous for great white shark cage diving; pelagic zone.","15–30 m","Year-round","Eyre Peninsula, SA","Great white sharks, tuna","Cage required","Charter boat access only",https://images.unsplash.com/photo-1559827260-dc66d52bef19?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T11:47:46.816Z,,,,,
24,"North Bondi Rocks",-33.88980000,151.28150000,"17–23°C","Beginner","2–12m","Sheltered site with rocky outcrops and marine life near the rock pool.","5–10m","October–April","Bondi, NSW","Leatherjackets, octopus, rays","Swell, swimmers","Shore access, beach amenities",https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/58/4d/584d055615ceb3dcf09bd006a0ee3352.webp,false,2025-06-07T07:54:34.592Z,north-bondi-rocks,90,"Bondi Beach stormwater drain approximately 600m north; large urban catchment from Bondi, Bellevue Hill and surrounds","Northerly swells churn sand; strong easterly swell drops viz to under 3m; rain events reduce viz by 50-60% for 2-3 days","Summer: 8-12m; Autumn best (10-15m); Winter: 6-10m; Spring: 5-8m (plankton blooms)"
55,"Yena Gap",-34.02510000,151.23990000,"16–21 °C","Advanced","10–26 m","Remote site with dramatic drop-offs and caves, accessed by long walk.","10–20 m","Spring–Summer","Kamay Botany Bay NP, NSW","Bull rays, large schools of fish","Surge, no facilities","None",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5U0evm4C8G4DO2q_HzQdRkrSWSsbRZYGr8Q&s,false,2025-06-07T11:28:39.756Z,yena-gap,0,"Botany Bay industrial and stormwater runoff from Port Botany; receives catchment from Cooks River and surrounding industrial areas","Post-rain turbidity from Port Botany and Cooks River can last 3-5 days; north winds push murky port water towards site; best after a week of dry weather","Moderate 5-10m year-round; best after extended dry periods in summer; winter can be clearer in settled conditions"
163,"Wigton Reef",-21.00350000,150.12210000,"24–28 °C","Advanced","12–28 m","Pristine hard coral reef with moderate current.","15–20 m","April–October","Outer GBR, QLD","Trevally, sharks, butterflyfish","Remote","Liveaboard dive site",https://images.unsplash.com/photo-1559827260-dc66d52bef19?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T11:54:54.092Z,,,,,
164,"Round Top Island",-21.17500000,149.28700000,"23–27 °C","Beginner","3–10 m","Close-to-shore site with seagrass and some coral bommies.","5–8 m","May–October","Mackay Coast, QLD","Seahorses, rays, pipefish","Tidal flow","Shore/boat access",https://images.unsplash.com/photo-1583212292454-1fe6229603b7?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T11:54:54.092Z,,,,,
57,"Bare Island Deep Wall",-33.99220000,151.23480000,"16–23 °C","Intermediate","15–22 m","Wall dive adjacent to Bare Island with sponges, soft corals, and sea dragons.","10–15 m","October–May","La Perouse, NSW","Sea dragons, moray eels, rays","Strong currents","Shore access, parking",https://www.scuba.com/blog/wp-content/uploads/2010/01/wall-diving-scuba-shutterstock_373432822-1024x576.jpg,false,2025-06-07T11:30:03.702Z,bare-island-deep-wall,150,"Same as Bare Island - minor stormwater from La Perouse suburb","Same as Bare Island - SE swell and wind reduces viz; deeper wall less affected by surface conditions","Same as Bare Island: Summer 8-12m, Winter 6-10m; deep wall often has better viz than the shallows"
186,"Green Island – South West Rocks",-30.86450000,153.06600000,"18–24 °C","Intermediate","8–16 m","Small island reef with soft coral gardens.","10–15 m","October–March","South West Rocks, NSW","Octopus, turtles, wrasse","Surge","Boat dive",https://images.unsplash.com/photo-1583212292454-1fe6229603b7?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T12:04:29.032Z,,,,,
188,"Latitude Rock",-32.17200000,152.63420000,"18–24 °C","Intermediate","10–20 m","Steep reef wall with bommies and good visibility.","12–18 m","Dry season","Forster, NSW","Moray eels, snapper, gropers","Boat traffic","Boat access only",https://images.unsplash.com/photo-1583212292454-1fe6229603b7?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T12:04:29.032Z,,,,,
63,"Bluefish Point",-33.80210000,151.29770000,"17–23 °C","Advanced","15–26 m","Deep site with drop-offs and large schools of pelagic fish.","10–20 m","October–March","North Head, NSW","Kingfish, sharks, wrasse","Strong currents, boat only","Boat dive only",https://i0.wp.com/www.sydneydivecharters.com.au/wp-content/uploads/Grey-Nurse-Shark-Front-Up-Close-very-Very-Best-scaled.jpg?fit=2000%2C1125&ssl=1,false,2025-06-07T11:30:03.702Z,bluefish-point,55,"Minimal - North Head is largely national park with little development; small urban catchment from Manly area","Exposed to NE swells; sustained NE swell over 1.5m reduces viz for 2-3 days; surge can be significant during large swells","Summer: 8-15m (excellent on calm days); Winter: 6-10m; best in settled anticyclonic conditions with light winds"
207,"Mullaway Reef",-30.02010000,153.20400000,"19–25 °C","Intermediate","6–14 m","Bommie reef with good hard coral growth.","10–15 m","Spring–Autumn","Mullaway, NSW","Turtles, parrotfish, morays","Swell","Boat access",https://images.unsplash.com/photo-1583212292454-1fe6229603b7?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T12:05:23.222Z,,,,,
210,"Woody Head Reef",-29.37520000,153.36310000,"19–25 °C","Intermediate","4–10 m","Rocky reef dive near campground, ideal for macro spotting.","6–10 m","Spring–Autumn","Iluka, NSW","Nudibranchs, cowfish, small rays","Swell","Shore access",https://images.unsplash.com/photo-1583212292454-1fe6229603b7?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T12:05:23.222Z,,,,,
71,"Wedding Cake Island",-33.91730000,151.26890000,"17–23 °C","Intermediate","8–16 m","Rocky reef near Coogee Beach with swim-throughs and diverse marine life.","10–15 m","October–April","Coogee, NSW","Octopus, groper, morwong","Surge, boat traffic","Boat dive only",https://lh3.googleusercontent.com/iiknE4RQUaWtdavo7zcsJ041CzCrCpYnfQJuBKfsOWAPaUxs7-3GTy1bqJ-GlDALPW5k4GxoqRUc5G_2n8AFXpqG-UrpjbN5NzQrTRlo40WcQNuvgreGOUdUl_mYzIw8q3wNjGZp,false,2025-06-07T11:31:18.967Z,wedding-cake-island,155,"Coogee Beach stormwater drain approximately 300m north; urban catchment from Coogee","Very swell-exposed; southerly storms can drop viz to 1-2m; any swell over 1m reduces viz; cold upwellings from the south can bring very clear deep water","Summer: 8-15m; Winter: 6-12m (upwellings can boost to 15m+); most variable site in the area - can be 2m or 20m on different days"
228,"Manta Bommie",-27.42640000,153.55300000,"22–26 °C","All Levels","3–15 m","A collection of rocky outcrops surrounded by a rugged rocky reef, known for manta ray encounters.","10–30 m","November–May","North Stradbroke Island, QLD","Manta rays, leopard sharks, shovel nose sharks, stingrays, bull rays, octopus, crayfish, nudibranchs","Occasional surge","Boat access",https://images.unsplash.com/photo-1583212292454-1fe6229603b7?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T21:52:59.310Z,,,,,
26,"Bushrangers Bay",-34.54640000,150.91690000,"17–23°C","Beginner","2–18m","Sheltered bay within an aquatic reserve known for grey nurse sharks, schools of fish, and easy access.","5–20m","October–April","Shellharbour, NSW","Grey nurse sharks, rays, schools of bream","Surge, boat traffic","Shore access, nearby amenities",https://cdn.getyourguide.com/img/tour/02fec1b67465ecae.png/145.jpg,true,2025-06-07T07:55:33.717Z,,,,,
1,"Cod Hole",-14.71670000,145.77830000,"24-29°C","Advanced","15-40m","Famous for its resident potato cod, this iconic dive site offers close encounters with massive grouper fish. The site features coral bommies and swim-throughs where these gentle giants congregate.","20-40m","Year-round, best May-October","Great Barrier Reef - Cairns","Potato cod, Maori wrasse, reef sharks, coral trout, giant trevally","Strong currents, deep water, large marine life requires respectful distance","Liveaboard access only, mooring available",https://hotgetaways.com.au/wp-content/uploads/2013/03/cod-hole.jpg,true,2025-06-07T04:16:54.315Z,,,,,
185,"Fish Rock Cave",-30.87830000,153.04710000,"18–24 °C","Advanced","12–24 m","One of Australia's only true ocean swim-through caves.","15–20 m","September–April","South West Rocks, NSW","Grey nurse sharks, rays, turtles","Overhead, current","Boat dive only",https://swrdive.com.au/cdn/shop/files/multiple-sharks-close-proximity_1600x.webp?v=1733459348,false,2025-06-07T12:04:29.032Z,,,,,
59,"Magic Point",-33.96470000,151.26340000,"17–22 °C","Advanced","10–25 m","Shark cave with grey nurse sharks, accessible by boat only.","10–20 m","September–March","Maroubra, NSW","Grey nurse sharks, wrasse","Boat traffic, surge","Boat dive only",https://imgds360live.s3.amazonaws.com/storefront/3546038/2619348970_1749214269_3546038.webp,true,2025-06-07T11:30:03.702Z,,,,,
12,"Rapid Bay Jetty",-35.52340000,138.18530000,"11–20°C","Beginner","3–10m","Shore dive famous for leafy sea dragons and encrusted jetty pylons.","5–15m","October–May","Fleurieu Peninsula, SA","Leafy sea dragons, octopus, cuttlefish","Surge, cold water","Shore access",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8CPEVtzNzyzHnXlDi2KJD0SvQZcYyOnTAIw&s,false,2025-06-07T04:34:45.927Z,,,,,
17,"Edithburgh Jetty",-35.08810000,137.76170000,"15–21°C","Beginner","3–10m","Macro haven with nudibranchs, cuttlefish and leafy sea dragons under a quiet jetty.","5–15m","October–April","Yorke Peninsula, SA","Leafy sea dragons, nudibranchs, cuttlefish","Surge, boat traffic","Jetty access, parking",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7-wYb0pLjY-_G7DgrMRh8m81FQsII0VQ53Q&s,false,2025-06-07T07:46:08.278Z,,,,,
36,"Shark Cave",-32.00720000,115.51060000,"19–24°C","Advanced","18–30m","Cave system popular for observing grey nurse sharks.","10–20m","November–April","Rottnest Island, WA","Grey nurse sharks, crayfish, sweep","Depth, surge","Boat dive",https://i.ytimg.com/vi/YslPPWsS8mg/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDCchBcQpQyjaZNhS0CcgIajFttbA,false,2025-06-07T08:01:14.673Z,,,,,
28,"The Gutter",-34.55020000,150.91520000,"17–23°C","Beginner","3–18m","Narrow entry channel leading to reef and kelp beds, ideal for beginners when calm.","5–12m","October–April","Shellharbour, NSW","Morwong, rays, soft corals","Surge, low visibility","Shore access",https://static.wixstatic.com/media/72b162_bf1b1430efca431daf486ac1ed237311~mv2.jpg/v1/fill/w_280,h_169,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/72b162_bf1b1430efca431daf486ac1ed237311~mv2.jpg,false,2025-06-07T07:55:33.717Z,,,,,
22,"Wreck of the Alert",-38.47080000,145.22600000,"13–20°C","Advanced","18–33m","Historic clipper wreck dive with structure covered in soft corals.","10–20m","December–March","Phillip Island, VIC","Reef fish, nudibranchs, cuttlefish","Depth, surge","Boat dive",https://robbreport.com/wp-content/uploads/2024/08/IMG_1475-3.jpg?w=681&h=383&crop=1,false,2025-06-07T07:48:14.543Z,,,,,
29,"Stack Island",-34.55290000,150.92230000,"17–23°C","Advanced","10–25m","Offshore island dive with caves, swim-throughs and pelagic species.","10–20m","October–April","Shellharbour, NSW","Kingfish, turtles, pelagics","Depth, boat traffic","Boat access",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGlrkl01jAThqfM3i-qQpS95BWWbEixGFQOw&s,false,2025-06-07T07:55:33.717Z,,,,,
9,"Rowley Shoals",-17.33330000,119.33330000,"25–30°C","Advanced","5–40m","Remote pristine coral atolls with epic visibility and reef walls.","30–60m","October–December","Offshore Broome, WA","Mantas, sharks, groupers, reef fish","Strong currents, remote","Liveaboard only",https://greatescapecruises.com.au/wp-content/uploads/Rowley-Shoals-Diving-1.jpg,false,2025-06-07T04:34:45.927Z,,,,,
18,"Eaglehawk Neck Caves",-43.02690000,147.96920000,"12–18°C","Advanced","10–30m","Dramatic caves and kelp forests with sea dragons and sponge life.","10–25m","December–March","Tasmania","Weedy sea dragons, sponge gardens","Cold water, surge","Boat dive",https://i.ytimg.com/vi/4XwPB8g0xPc/sddefault.jpg,false,2025-06-07T07:46:08.278Z,,,,,
3,"Julian Rocks",-28.62970000,153.63970000,"18-24°C","Beginner","5-25m","A volcanic rock formation 2.5km offshore from Byron Bay, offering diverse marine life and excellent underwater photography opportunities. Protected marine park with year-round diving.","10-30m","Year-round","Byron Bay, NSW","Grey nurse sharks, leopard sharks, turtles, rays, tropical fish","Seasonal strong currents, boat traffic","Multiple dive operators, shore dive possible",https://snorkelingbyronbay.com.au/wp-content/uploads/2021/10/Moray-Eel.jpg,false,2025-06-07T04:16:54.315Z,,,,,
30,"HMAS Swan Wreck",-33.58050000,115.02920000,"18–22°C","Advanced","20–32m","Decommissioned naval destroyer sunk as a dive site off Dunsborough.","15–25m","November–May","Dunsborough, WA","Wobbegongs, nudibranchs, schools of snapper","Depth, overhead environment","Boat access, mooring buoys",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTrkMEt-p69aep49r8WPsJdgHlV-fR6JLRow&s,false,2025-06-07T08:01:14.673Z,,,,,
7,"Osprey Reef",-13.91670000,146.63330000,"24–29°C","Advanced","0–40m","Stunning Coral Sea atoll with wall diving, big pelagics, and pristine coral.","30–60m","June–November","Coral Sea, QLD","Sharks (grey, silvertip, hammerhead), rays, reef fish","Strong currents, remote","Liveaboard only",https://wanderlusters.com/wp-content/uploads/2013/04/diving-with-sharks-featured.jpg,false,2025-06-07T04:34:45.927Z,,,,,
6,"Flinders Pier",-38.46670000,144.91670000,"12-18°C","Beginner","2-8m","Melbournes most popular shore dive featuring a pier structure that attracts unique marine life. Excellent for night diving and macro photography.","5-15m","Year-round, better in winter","Mornington Peninsula, VIC","Weedy sea dragons, seahorses, octopus, pipefish, crabs","Cold water, limited visibility, pier structure","Shore access, facilities nearby",https://www.peterfuller.com.au/blog/wp-content/uploads/2011/01/weedyseadragon4773.jpg,false,2025-06-07T04:16:54.315Z,,,,,
16,"Portsea Pier",-38.31920000,144.71420000,"12–20°C","Beginner","3–10m","Pier dive with prolific macro life including seahorses and nudibranchs.","5–15m","November–March","Mornington Peninsula, VIC","Seahorses, cuttlefish, nudibranchs","Surge, cold water","Shore access",https://www.travelvictoria.com.au/images/town/sport/scubabodive.jpg,false,2025-06-07T07:24:22.880Z,,,,,
15,"SS Annie M. Miller",-33.91700000,151.27750000,"18–24°C","Advanced","25–33m","Historic trawler wreck encrusted with marine life and upright on the seabed.","10–20m","November–April","Sydney, NSW","Wobbegongs, groupers, schooling fish","Depth, current","Boat dive",https://www.michaelmcfadyenscuba.info/images3/tui-tawate-4.jpg,false,2025-06-07T07:24:22.880Z,ss-annie-m-miller,90,"Sydney Harbour catchment; multiple stormwater inflows across the harbour after heavy rain","Heavy rain drops viz to 2-3m for 2-3 days; port traffic and vessel turbulence reduces viz in shallows; best after 5+ dry days","Consistent 5-10m year-round; best after extended dry spells; summer slightly better (8-10m) than winter (5-8m)"
20,"Five Fathom Reef",-32.26700000,115.63500000,"18–24°C","Intermediate","8–20m","Popular reef system near Perth with hard corals, reef sharks, and rays.","10–20m","September–March","Rockingham, WA","Reef sharks, stingrays, groupers","Surge","Boat dive",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgHdPSyFZmFu0mEF4D5-l6aGMNRm0WGerCyM6sAItt_QRGc-gvjxpqnjzfNICPdzPtsDghiiRBPqcRlfkyIQMYaVzAlJV1wlEss6FNDZTWJO5O2_EpKqCAREjdrQ7x1dB2OAZABPdQ9aIA/s1600/scuba-diving-tobermory-2.jpg,false,2025-06-07T07:48:14.543Z,,,,,
34,"Clarkes Reef",-35.02920000,117.89310000,"16–20°C","Intermediate","5–20m","Scenic fringing reef off Albany with bommies and swim-throughs.","5–15m","December–March","Albany, WA","Blue devils, rays, leatherjackets","Surge, cold water","Boat dive",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8jpWas0Z4fGEQJRIszxWEpnh_eZcrNa2_OQ&s,false,2025-06-07T08:01:14.673Z,,,,,
41,"Kilsby Sinkhole",-37.94330000,140.77450000,"15–18°C","Advanced","6–40m","Crystal-clear freshwater sinkhole with open-top access. Great light rays.","30–40m","Year-round","Mt Gambier, SA","Freshwater shrimp, light columns","Depth, thermocline","Toilets, parking, bookings essential",https://imgix.theurbanlist.com/content/general/sinkhole_hero.jpg?auto=compress&w=1200&h=630&fit=crop,false,2025-06-07T08:02:40.983Z,,,,,
43,"Piccaninnie Ponds",-38.04350000,140.89170000,"12–16°C","Advanced","6–35m","UNESCO-listed wetland with cathedral-like chasms and haloclines.","30–40m","Spring–Autumn","Port MacDonnell, SA","Tiny freshwater fish, algae, haloclines","Depth, overhead environment","Permit required, changing area",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCL5Ev_dxKA3CkZXc4tWxbasuHMAEJ-2jzdA&s,false,2025-06-07T08:02:40.983Z,,,,,
46,"Mount Hypipamee Crater",-17.37920000,145.50530000,"20–22°C","Advanced","20–125m","Volcanic crater lake with extreme depth and restricted visibility.","5–15m","May–September","Atherton Tablelands, QLD","Eels, freshwater species","Extreme depth, thermocline","Permit required",https://content.api.news/v3/images/bin/fa9aa2ef1f48f80b58acc49e5ab948bf,false,2025-06-07T08:02:40.983Z,,,,,
48,"Shark Point",-33.93760000,151.26310000,"17–22 °C","Advanced","10–25 m","Deep reef with large boulders, drop-offs, and strong marine life diversity.","10–20 m","September–April","Clovelly, NSW","Blue gropers, sharks, nudibranchs","Surge, strong currents","Shore entry, limited parking",https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/16/c3/8f.jpg,false,2025-06-07T11:28:39.756Z,,,,,
40,"Tank Cave",-37.01710000,140.76610000,"15–18°C","Advanced","10–40m","Extensive flooded limestone cave system with over 7 km of passage. Permit required.","20–30m","Year-round","Mt Gambier, SA","Blind cave fish, shrimp","Overhead environment, navigation risk","Permit required, staging area",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQekECkvL6suhqCsc8YIK6rHd9DGQ6MxC64PQ&s,false,2025-06-07T08:02:40.983Z,,,,,
51,"Little Bay",-33.98450000,151.24120000,"17–22 °C","Beginner","4–10 m","Sheltered bay with rocky reef and easy access, ideal for training.","5–10 m","September–May","Little Bay, NSW","Port Jackson sharks, leatherjackets","Surge","Stairs, parking",https://www.michaelmcfadyenscuba.info/images/little-bay-aerial.jpg,false,2025-06-07T11:28:39.756Z,,,,,
54,"Kurnell Monument",-34.00080000,151.22750000,"16–21 °C","Intermediate","8–22 m","Deep reef wall with overhangs and strong currents, lots of pelagics.","10–15 m","Spring–Autumn","Kurnell, NSW","Sharks, groupers, sea dragons","Strong current","Path access, parking",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaF1JTcKmvDfEMVAwx1gDXrm_N4ukljpbEtg&s,false,2025-06-07T11:28:39.756Z,,,,,
32,"Blizzard Ridge",-21.90210000,113.99650000,"22–26°C","Intermediate","12–18m","Colourful coral ridge in Ningaloo Reef's outer lagoon.","15–25m","April–October","Ningaloo Reef, WA","Turtles, reef sharks, coral trout","Swell","Boat dive",https://www.diveningaloo.com.au/wp-content/uploads/2018/07/reef4-1024x504.jpg,false,2025-06-07T08:01:14.673Z,,,,,
44,"Cocklebiddy Cave",-31.06150000,125.83750000,"17–20°C","Advanced","10–100m","Longest underwater cave penetration in Australia (~6 km). Extreme logistics.","20–40m","April–October","Nullarbor Plain, WA","Cave fauna","Depth, navigation, isolation","Expedition-grade only",https://i.ytimg.com/vi/6jeQ5IrW4Es/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDOwBgXbSwB-x6RU-z9C1-0xJR4Sg,false,2025-06-07T08:02:40.983Z,,,,,
37,"Boyinaboat Reef",-31.82310000,115.73420000,"19–23°C","Beginner","5–14m","Easy-access reef near Perth with abundant sponge and coral life.","8–15m","October–March","Perth, WA","Wrasse, rays, cuttlefish","Boat traffic","Boat or shore dive",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJAkQs8RE88tTo3ANE9lYSJk_39bgD8MqpVg&s,false,2025-06-07T08:01:14.673Z,,,,,
49,"Clovelly Pool",-33.91390000,151.26330000,"17–23 °C","Beginner","2–5 m","Calm, sheltered pool area with resident blue gropers and schooling fish.","5–8 m","Year-round","Clovelly, NSW","Blue gropers, bream, wrasse","Limited depth","Change rooms, parking",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReecThtu8ULX5loFaCQIKYsrzRSkQ_P3ZJLA&s,false,2025-06-07T11:28:39.756Z,,,,,
35,"Clerke Reef",-17.29920000,119.34810000,"25–30°C","Advanced","10–40m","Remote atoll reef with stunning visibility and walls.","30–40m","October–December","Offshore Broome, WA","Turtles, reef sharks, barracuda","Strong currents","Liveaboard only",https://dsvsbigncb06y.cloudfront.net/articles/the-worlds-best-corals/fiji-reef.jpg,false,2025-06-07T08:01:14.673Z,,,,,
47,"Camp Cove",-33.84460000,151.28160000,"17–22 °C","All Levels","3–10 m","Sheltered site with seagrass beds and sponge gardens, ideal for night dives.","5–10 m","October–April","Watsons Bay, NSW","Octopus, seahorses, small rays","Boat traffic","Shore access, parking",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAYA_RwmYVl09-1Doh8J22krCSIR_xEViDGw&s,false,2025-06-07T11:28:39.756Z,camp-cove,330,"Minor Watsons Bay urban stormwater; very small catchment, minimal impact","Very protected harbour site; general harbour turbidity after city-wide heavy rain; ferry and boat traffic creates minor turbulence","4-8m year-round; lowest (3-5m) after heavy rain in greater Sydney catchment; summer marginally clearer"
25,"Freshwater Reef",-33.77580000,151.29690000,"17–23°C","Beginner","4–16m","Shallow reef with boulders, overhangs and schooling fish.","5–15m","October–April","Freshwater, NSW","Sweep, rays, groper","Surge, surf zone","Shore access",https://dsvsbigncb06y.cloudfront.net/articles/the-worlds-best-corals/indonesia-reef.jpg,false,2025-06-07T07:54:34.592Z,,,,,
42,"Ewens Ponds",-38.08040000,140.79910000,"12–16°C","Beginner","3–10m","Three spring-fed ponds with flowing channels and surreal freshwater clarity.","30–40m","Spring–Autumn","Port MacDonnell, SA","Weedy pondweed, freshwater fish","Cold, fragile vegetation","Shore access, regulated entry",https://visitlimestonecoast.com.au/wp-content/uploads/2021/05/Piccaninnie-Ponds-Conservation-Park-National-Parks-SA.jpg,false,2025-06-07T08:02:40.983Z,,,,,
61,"The Leap",-34.00110000,151.22700000,"16–21 °C","Advanced","10–22 m","Drift dive along a vibrant sponge garden wall with abundant marine life.","10–15 m","Spring–Autumn","Kurnell, NSW","Sea dragons, rays, pelagics","Entry can be tricky","Steep trail, parking",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFioZK1Pm19G_kFcK2TW1scIPaSlWG1BVwtA&s,false,2025-06-07T11:30:03.702Z,,,,,
60,"The Apartments",-33.77830000,151.29880000,"17–23 °C","Intermediate","6–15 m","Underwater rock formations like building blocks with tunnels and swim-throughs.","8–12 m","October–April","Freshwater, NSW","Moray eels, kingfish, rays","Surge, boat access","Boat dive only",https://www.michaelmcfadyenscuba.info/images/wall-cave-2.jpg,false,2025-06-07T11:30:03.702Z,,,,,
68,"South Maroubra Reef",-33.95120000,151.25910000,"17–22 °C","Intermediate","8–20 m","Ledges and boulders with resident fish schools and weedy habitats.","8–12 m","Spring–Autumn","Maroubra, NSW","Cuttlefish, wrasse, sweep","Surge, current","Shore access",https://www.diveengine.com/images/final/201010151041500.image_2720.jpg,false,2025-06-07T11:31:18.967Z,,,,,
75,"Wattamolla Lagoon",-34.13960000,151.11720000,"16–21 °C","Beginner","2–6 m","Unusual dive site in Royal NP with freshwater-saltwater mix.","3–6 m","Summer only","Royal National Park, NSW","Mullet, shrimp, small fish","Low visibility, limited access","Parking, long walk",https://live.staticflickr.com/65535/52787585453_d56eb6aab0_z.jpg,false,2025-06-07T11:31:18.967Z,,,,,
78,"Port Noarlunga Reef",-35.14750000,138.46920000,"16–22 °C","Beginner","2–10 m","Shallow reef just offshore from jetty with rich biodiversity and swim-throughs.","6–10 m","October–March","Adelaide, SA","Bream, wrasse, seastars","Surge, boat traffic","Jetty access, toilets, parking",https://live-production.wcms.abc-cdn.net.au/ca436e0b1744159207f4cac493fef128?impolicy=wcms_crop_resize&cropH=567&cropW=1011&xPos=61&yPos=128&width=862&height=485,false,2025-06-07T11:32:50.120Z,,,,,
77,"Rapid Bay Jetty",-35.60420000,138.18050000,"15–21 °C","All Levels","3–10 m","Iconic jetty dive known for leafy sea dragons, pylons covered in marine life.","5–10 m","November–April","Fleurieu Peninsula, SA","Leafy sea dragons, cowfish, nudibranchs","Surge, current","Jetty access, parking",https://divingadelaide.com.au/wp-content/uploads/2023/11/Rapid-Bay-Jetty-Drone-Photo-1024x732.jpg,false,2025-06-07T11:32:50.120Z,,,,,
79,"Edithburgh Jetty",-35.08450000,137.75120000,"15–21 °C","All Levels","2–8 m","Famous muck dive with macro life, night dives reveal cuttlefish and seahorses.","4–8 m","October–May","Yorke Peninsula, SA","Cuttlefish, octopus, pipefish","Low visibility","Jetty access, showers, parking",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/1f/a1/cd/edithburgh-jetty.jpg?w=900&h=500&s=1,false,2025-06-07T11:32:50.120Z,,,,,
73,"North Harbour Aquatic Reserve",-33.80340000,151.28710000,"17–23 °C","Intermediate","5–12 m","Calm reserve area with seagrass, sand flats and rocky outcrops.","8–10 m","Spring–Summer","Manly, NSW","Rays, pipefish, wrasse","Boats, silt","Shore access",https://www.diveengine.com/images/final/201010181621400.bluefish%20point%20weedy%20wide%20ml720.jpg,false,2025-06-07T11:31:18.967Z,north-harbour-aquatic-reserve,180,"Manly Cove stormwater minor; small urban catchment from Manly township","Semi-protected; rain events reduce viz by 30-40% for 1-2 days; plankton blooms in spring significantly reduce clarity","5-10m; Spring worst (plankton, can drop to 3m); Summer 6-10m; Autumn/Winter 5-8m"
66,"Dee Why Wide",-33.75120000,151.30860000,"16–22 °C","Advanced","18–30 m","Deep offshore reef with ledges and pelagic encounters.","15–25 m","October–April","Dee Why, NSW","Sharks, kingfish, morwong","Boat only, strong currents","Boat dive only",https://i0.wp.com/www.sydneydivecharters.com.au/wp-content/uploads/Dee-Why-Ferry-Wreck-Dive.jpg?resize=640%2C360&ssl=1,false,2025-06-07T11:30:03.702Z,,,,,
